CECR,Moyenne,Ecart_type,Mediane,Q25,Q75,Min,Max
A1,0.06521011550915858,0.06763105146238477,0.06349206349206349,0.0,0.09415584415584416,0.0,0.3
A2,0.0844175946958982,0.07357824568052095,0.06451612903225806,0.030303030303030304,0.12666666666666665,0.0,0.25
B1,0.08513726360660522,0.05850420552677152,0.075046904315197,0.042106807511737086,0.1111111111111111,0.0,0.3
B2,0.09539752712792217,0.06589535180445874,0.08003201280512204,0.056089743589743585,0.1310123683005039,0.0,0.2857142857142857
C1-C2,0.07593142984975626,0.04085790784965363,0.06864949411017156,0.047619047619047616,0.10323886639676114,0.0,0.17857142857142858
