Fichier,CECR,PropSepVerb
B2_COMPROF19.txt,B2,0.05128205128205128
B2_COMPROF20.txt,B2,0.05405405405405406
B2_COMPROF21.txt,B2,0.15217391304347827
B2_COMPROF22.txt,B2,0.09090909090909091
B2_COMPROF23.txt,B2,0.1
B2_COMPROF3.txt,B2,0.0784313725490196
B2_COMPROF4.txt,B2,0.14583333333333334
B2_COMPROF5.txt,B2,0.04
B2_COMPROF6.txt,B2,0.11428571428571428
B2_COMPROF7.txt,B2,0.06666666666666667
B2_COMPROF8.txt,B2,0.08163265306122448
B2_COMPROF9.txt,B2,0.13513513513513514
C1_CNAVT1.txt,C1-C2,0.05263157894736842
C1_CNAVT2.txt,C1-C2,0.0
C1_CNAVT3.txt,C1-C2,0.1
C1_CNAVT4.txt,C1-C2,0.17857142857142858
C1_CNAVT5.txt,C1-C2,0.11363636363636363
C1_CNAVT6.txt,C1-C2,0.13043478260869565
C2_10_TIJD.txt,C1-C2,0.1111111111111111
C2_11_TIJD.txt,C1-C2,0.08333333333333333
C2_12_TIJD.txt,C1-C2,0.03333333333333333
C2_13_TIJD.txt,C1-C2,0.047619047619047616
C2_14_TIJD.txt,C1-C2,0.07462686567164178
C2_15_TIJD.txt,C1-C2,0.057692307692307696
C2_16_TIJD.txt,C1-C2,0.10526315789473684
C2_17_TIJD.txt,C1-C2,0.09195402298850575
C2_18_TIJD.txt,C1-C2,0.05555555555555555
C2_19_TIJD.txt,C1-C2,0.05
C2_1_TIJD.txt,C1-C2,0.047619047619047616
C2_20_TIJD.txt,C1-C2,0.1
C2_21_TIJD.txt,C1-C2,0.1016949152542373
C2_22_TIJD.txt,C1-C2,0.045454545454545456
C2_23_TIJD.txt,C1-C2,0.025
C2_24_TIJD.txt,C1-C2,0.11278195488721804
C2_25_TIJD.txt,C1-C2,0.10256410256410256
C2_26_TIJD.txt,C1-C2,0.06315789473684211
C2_27_TIJD.txt,C1-C2,0.053763440860215055
C2_28_TIJD.txt,C1-C2,0.0
C2_29_TIJD.txt,C1-C2,0.04395604395604396
C2_2_TIJD.txt,C1-C2,0.07317073170731707
C2_30_TIJD.txt,C1-C2,0.07920792079207921
C2_3_TIJD.txt,C1-C2,0.023809523809523808
C2_4_TIJD.txt,C1-C2,0.12903225806451613
C2_5_TIJD.txt,C1-C2,0.15
C2_6_TIJD.txt,C1-C2,0.05660377358490566
C2_7_TIJD.txt,C1-C2,0.06412825651302605
C2_8_TIJD.txt,C1-C2,0.047619047619047616
C2_9_TIJD.txt,C1-C2,0.1282051282051282
