fichier,niveau_CECR,NbSubord,Nb_phrases_total,Nb_phrases_avec_sub,Prop_phrases_avec_sub
B2_34_CNAVT.txt,B2,25,27,12,0.4444444444444444
B2_35_CNAVT.txt,B2,13,17,6,0.35294117647058826
B2_36_CNAVT.txt,B2,6,14,3,0.21428571428571427
B2_37_CNAVT.txt,B2,17,6,3,0.5
B2_38_CNAVT.txt,B2,19,13,4,0.3076923076923077
B2_39_CNAVT.txt,B2,7,8,2,0.25
B2_40_CNAVT.txt,B2,2,9,0,0.0
B2_41_CNAVT.txt,B2,66,64,27,0.421875
B2_42_CNAVT.txt,B2,70,57,31,0.543859649122807
B2_COMPROF10.txt,B2,25,48,7,0.14583333333333334
B2_COMPROF11.txt,B2,46,50,12,0.24
B2_COMPROF12.txt,B2,28,32,7,0.21875
B2_COMPROF13.txt,B2,30,25,10,0.4
B2_COMPROF14.txt,B2,31,47,7,0.14893617021276595
B2_COMPROF15.txt,B2,41,45,11,0.24444444444444444
B2_COMPROF16.txt,B2,20,16,7,0.4375
B2_COMPROF17.txt,B2,10,7,3,0.42857142857142855
B2_COMPROF18.txt,B2,23,17,6,0.35294117647058826
B2_COMPROF19.txt,B2,22,25,7,0.28
B2_COMPROF20.txt,B2,16,20,8,0.4
B2_COMPROF21.txt,B2,26,25,9,0.36
B2_COMPROF22.txt,B2,10,13,4,0.3076923076923077
B2_COMPROF23.txt,B2,5,15,3,0.2
B2_COMPROF3.txt,B2,30,40,11,0.275
B2_COMPROF4.txt,B2,43,34,13,0.38235294117647056
B2_COMPROF5.txt,B2,18,41,9,0.21951219512195122
B2_COMPROF6.txt,B2,23,26,8,0.3076923076923077
B2_COMPROF7.txt,B2,16,15,6,0.4
B2_COMPROF8.txt,B2,31,29,9,0.3103448275862069
B2_COMPROF9.txt,B2,16,26,8,0.3076923076923077
C1_CNAVT1.txt,C1-C2,23,18,6,0.3333333333333333
C1_CNAVT2.txt,C1-C2,18,21,4,0.19047619047619047
C1_CNAVT3.txt,C1-C2,35,40,9,0.225
C1_CNAVT4.txt,C1-C2,16,13,6,0.46153846153846156
C1_CNAVT5.txt,C1-C2,26,31,7,0.22580645161290322
C1_CNAVT6.txt,C1-C2,36,22,13,0.5909090909090909
C2_10_TIJD.txt,C1-C2,27,25,9,0.36
C2_11_TIJD.txt,C1-C2,11,24,1,0.041666666666666664
C2_12_TIJD.txt,C1-C2,39,31,16,0.5161290322580645
C2_13_TIJD.txt,C1-C2,16,13,4,0.3076923076923077
C2_14_TIJD.txt,C1-C2,25,38,7,0.18421052631578946
C2_15_TIJD.txt,C1-C2,27,29,9,0.3103448275862069
C2_16_TIJD.txt,C1-C2,28,32,11,0.34375
C2_17_TIJD.txt,C1-C2,59,52,15,0.28846153846153844
C2_18_TIJD.txt,C1-C2,19,12,6,0.5
C2_19_TIJD.txt,C1-C2,14,25,6,0.24
C2_1_TIJD.txt,C1-C2,30,29,12,0.41379310344827586
C2_20_TIJD.txt,C1-C2,66,52,17,0.3269230769230769
C2_21_TIJD.txt,C1-C2,93,71,35,0.49295774647887325
C2_22_TIJD.txt,C1-C2,25,17,8,0.47058823529411764
C2_23_TIJD.txt,C1-C2,64,39,16,0.41025641025641024
C2_24_TIJD.txt,C1-C2,115,154,40,0.2597402597402597
C2_25_TIJD.txt,C1-C2,12,29,5,0.1724137931034483
C2_26_TIJD.txt,C1-C2,42,49,20,0.40816326530612246
C2_27_TIJD.txt,C1-C2,53,79,10,0.12658227848101267
C2_28_TIJD.txt,C1-C2,28,31,9,0.2903225806451613
C2_29_TIJD.txt,C1-C2,39,80,9,0.1125
C2_2_TIJD.txt,C1-C2,28,45,10,0.2222222222222222
C2_30_TIJD.txt,C1-C2,80,65,24,0.36923076923076925
C2_3_TIJD.txt,C1-C2,94,70,26,0.37142857142857144
C2_4_TIJD.txt,C1-C2,25,17,8,0.47058823529411764
C2_5_TIJD.txt,C1-C2,14,15,6,0.4
C2_6_TIJD.txt,C1-C2,19,39,8,0.20512820512820512
C2_7_TIJD.txt,C1-C2,374,411,108,0.26277372262773724
C2_8_TIJD.txt,C1-C2,10,13,5,0.38461538461538464
C2_9_TIJD.txt,C1-C2,17,24,7,0.2916666666666667
