fichier,niveau,Meanconc,MeanSentL,MTLD,NbSubord_x,PA_SUBTLEX_1500,PA_SUBTLEX_3000,PA_SUBTLEX_MAX,PA_SUBTLEX_1500_U,PA_SUBTLEX_3000_U,PA_SUBTLEX_MAX_U,Prop_phrases_avec_sub,RatioConnContr
A1_1.txt,A1,2.15,7.173913043478261,82.89555555555557,7,0.1794871794871795,0.1602564102564102,0.1346153846153846,0.231578947368421,0.2,0.1578947368421052,0.0434782608695652,0.0
A1_10.txt,A1,2.45,7.545454545454546,29.78971962616822,4,0.2516556291390728,0.1655629139072847,0.0927152317880794,0.2597402597402597,0.1818181818181818,0.1038961038961039,0.1363636363636363,0.0
A1_11__NT2.txt,A1,2.11,9.705882352941176,13.798387096774192,20,0.1313868613138686,0.1094890510948905,0.1021897810218978,0.2545454545454545,0.2,0.1818181818181818,0.0588235294117647,0.0
A1_12_NT2.txt,A1,2.58,8.076923076923077,11.5,4,0.1046511627906976,0.0813953488372093,0.0697674418604651,0.1304347826086956,0.0869565217391304,0.0652173913043478,0.0769230769230769,0.0
A1_13_NT2.txt,A1,2.66,10.444444444444445,20.71404155080498,8,0.2179487179487179,0.1538461538461538,0.0641025641025641,0.3181818181818182,0.2045454545454545,0.0909090909090909,0.1111111111111111,0.0
A1_14_NT2.txt,A1,2.15,9.2,27.5,7,0.0948275862068965,0.0775862068965517,0.0344827586206896,0.1269841269841269,0.0952380952380952,0.0317460317460317,0.0,0.0
A1_15_NT2.txt,A1,2.16,9.666666666666666,31.41087613293051,9,0.0909090909090909,0.0625,0.0568181818181818,0.1860465116279069,0.127906976744186,0.1162790697674418,0.1904761904761904,0.0
A1_16_NT2.txt,A1,2.06,10.529411764705882,27.789473684210527,14,0.0967741935483871,0.0838709677419354,0.064516129032258,0.125,0.0972222222222222,0.0694444444444444,0.1176470588235294,0.0
A1_17_NT2.txt,A1,2.39,12.0,42.77752880921895,3,0.3129770992366412,0.1679389312977099,0.1297709923664122,0.2891566265060241,0.1686746987951807,0.1325301204819277,0.0833333333333333,0.0
A1_18_NT2.txt,A1,2.07,10.36,25.672959297153028,18,0.1608695652173913,0.1217391304347826,0.108695652173913,0.2409638554216867,0.1686746987951807,0.1325301204819277,0.08,0.0
A1_19_NT2.txt,A1,2.0,7.864864864864865,21.034906573582468,25,0.1762452107279693,0.0957854406130268,0.0804597701149425,0.173076923076923,0.1153846153846153,0.0769230769230769,0.1891891891891892,0.0
A1_2.txt,A1,2.72,6.814814814814815,51.67419477796837,2,0.2111111111111111,0.1277777777777777,0.1055555555555555,0.247191011235955,0.1573033707865168,0.1123595505617977,0.074074074074074,0.0
A1_20_NT2.txt,A1,2.37,9.227272727272728,20.528669724770644,8,0.1467391304347826,0.0978260869565217,0.0706521739130434,0.1976744186046511,0.1395348837209302,0.0930232558139534,0.2272727272727272,0.0
