Variable,Spearman_rho,p_value
mean_fl,0.1610884249629378,0.05460544756936475
median_fl,-0.01608553546202156,0.8487769869673253
p75_fl,0.08296080340729867,0.3245949830263345
p90_fl,0.11972060974019892,0.15438481905505666
