fichier,niveau,mean_fl,median_fl,p75_fl,p90_fl
B2_29.txt,B2,214250.0,62563.5,298157.5,750148.0
B2_30_CNAVT.txt,B2,201762.9357429719,28899.0,205151.0,615217.0
B2_31_CNAVT.txt,B2,217986.42045454544,17717.5,363777.0,642703.0
B2_32_CNAVT.txt,B2,175996.89655172414,12177.0,299934.0,582765.4000000003
B2_33_CNAVT.txt,B2,163738.9,40578.0,203420.0,566539.5999999997
B2_34_CNAVT.txt,B2,218146.0969387755,46806.5,299934.0,642703.0
B2_35_CNAVT.txt,B2,171132.0725388601,39685.0,266947.0,559643.8
B2_36_CNAVT.txt,B2,285709.32330827066,80592.0,553695.0,1130556.0
B2_37_CNAVT.txt,B2,271808.7109375,79896.5,561131.0,674936.4999999997
B2_38_CNAVT.txt,B2,156460.38938053098,26609.0,203420.0,553695.0
B2_39_CNAVT.txt,B2,204529.93396226416,75257.5,203420.0,642703.0
B2_40_CNAVT.txt,B2,198718.92,14327.0,245806.0,642703.0
B2_41_CNAVT.txt,B2,184525.47671568627,34103.5,233637.75,615217.0
B2_42_CNAVT.txt,B2,175720.26123301985,44919.0,242517.0,561131.0
B2_COMPROF10.txt,B2,204314.40294840295,26609.0,299934.0,642703.0
B2_COMPROF11.txt,B2,164478.90573770492,22980.0,230678.0,615217.0
B2_COMPROF12.txt,B2,226123.30128205128,31422.0,396600.0,642703.0
B2_COMPROF13.txt,B2,210962.33136094676,22079.0,299934.0,642703.0
B2_COMPROF14.txt,B2,184628.91116751268,32913.5,242517.0,615217.0
B2_COMPROF15.txt,B2,207955.5615550756,50884.0,273552.5,642703.0
B2_COMPROF16.txt,B2,195573.0404040404,40123.5,230678.0,642703.0
B2_COMPROF17.txt,B2,215051.13636363635,9515.0,308561.0,642703.0
B2_COMPROF18.txt,B2,224424.9125,72249.0,299934.0,750148.0
B2_COMPROF19.txt,B2,190612.2334293948,28899.0,245806.0,615217.0
B2_COMPROF20.txt,B2,231788.8754208754,50884.0,396600.0,750148.0
B2_COMPROF21.txt,B2,212415.97953964194,35504.0,299934.0,642703.0
B2_COMPROF22.txt,B2,197668.94852941178,58398.0,361356.0,615217.0
B2_COMPROF23.txt,B2,174826.6194029851,12013.0,156689.0,642703.0
B2_COMPROF3.txt,B2,253416.26060606062,33752.0,396600.0,1130556.0
B2_COMPROF4.txt,B2,219301.44990176818,27237.0,247171.0,750148.0
B2_COMPROF5.txt,B2,176519.31288343557,36117.5,224296.25,561131.0
B2_COMPROF6.txt,B2,156984.05084745763,34566.0,156566.0,593582.6000000013
B2_COMPROF7.txt,B2,212416.19691119692,39685.0,352836.0,642703.0
B2_COMPROF8.txt,B2,189959.5281173594,34566.0,245806.0,615217.0
B2_COMPROF9.txt,B2,181406.99127906977,16580.5,242517.0,561131.0
C1_CNAVT1.txt,C1-C2,200994.0372881356,34455.0,245806.0,696175.6000000031
C1_CNAVT2.txt,C1-C2,200591.98381877024,36619.0,247171.0,620714.1999999997
C1_CNAVT3.txt,C1-C2,169674.35227272726,23188.0,205151.0,615217.0
C1_CNAVT4.txt,C1-C2,211582.13913043478,34655.5,299934.0,642703.0
C1_CNAVT5.txt,C1-C2,208366.80963302753,17267.5,299934.0,642703.0
C1_CNAVT6.txt,C1-C2,190991.7678100264,28147.0,299934.0,642703.0
C2_10_TIJD.txt,C1-C2,220675.81714285715,14085.5,306404.25,642703.0
C2_11_TIJD.txt,C1-C2,173945.67942583733,31393.0,230678.0,571948.2000000009
C2_12_TIJD.txt,C1-C2,259633.78600823044,54264.0,553695.0,750148.0
C2_13_TIJD.txt,C1-C2,196558.87845303866,14677.0,266947.0,615217.0
C2_14_TIJD.txt,C1-C2,220023.4252873563,8572.0,299934.0,826229.6000000173
C2_15_TIJD.txt,C1-C2,185077.9762470309,10564.0,242517.0,615217.0
C2_16_TIJD.txt,C1-C2,229153.01601423486,13221.0,396600.0,750148.0
C2_17_TIJD.txt,C1-C2,257082.64596273293,37780.0,553695.0,750148.0
C2_18_TIJD.txt,C1-C2,219965.93464052287,8868.0,299934.0,642703.0
C2_19_TIJD.txt,C1-C2,172174.5143603133,5232.0,205151.0,615217.0
C2_1_TIJD.txt,C1-C2,201477.97942386832,19635.5,308561.0,628960.0
C2_20_TIJD.txt,C1-C2,222269.00704225354,27037.0,308561.0,642703.0
C2_21_TIJD.txt,C1-C2,199143.46075085324,11069.0,299934.0,642703.0
C2_22_TIJD.txt,C1-C2,251745.32673267327,39685.0,396600.0,750148.0
C2_23_TIJD.txt,C1-C2,192824.45768025078,19876.0,299934.0,615217.0
C2_24_TIJD.txt,C1-C2,222590.3102111159,25110.0,396600.0,642703.0
C2_25_TIJD.txt,C1-C2,210631.8354755784,13939.0,247171.0,750148.0
C2_26_TIJD.txt,C1-C2,242191.42875157628,61258.0,396600.0,750148.0
C2_27_TIJD.txt,C1-C2,208276.69874879692,25037.0,352836.0,642703.0
C2_28_TIJD.txt,C1-C2,214137.4390862944,18509.0,352836.0,750148.0
C2_29_TIJD.txt,C1-C2,236933.13488372092,41596.0,396600.0,750148.0
C2_2_TIJD.txt,C1-C2,205537.96136363636,18183.5,396600.0,642703.0
C2_30_TIJD.txt,C1-C2,163531.2579310345,42467.0,242517.0,561131.0
C2_3_TIJD.txt,C1-C2,190543.2421875,58398.0,242517.0,615217.0
C2_4_TIJD.txt,C1-C2,213129.14141414143,15221.0,352836.0,642703.0
C2_5_TIJD.txt,C1-C2,186221.4814814815,12177.0,242517.0,615217.0
C2_6_TIJD.txt,C1-C2,186341.74489795917,6866.0,242517.0,642703.0
C2_7_TIJD.txt,C1-C2,199398.68177265898,64382.0,299934.0,615217.0
C2_8_TIJD.txt,C1-C2,171874.92441860464,57808.0,242517.0,553695.0
C2_9_TIJD.txt,C1-C2,181190.04620462045,15401.0,205151.0,615217.0
