,mean_fl,median_fl,p75_fl,p90_fl
mean_fl,1.0,0.283085206851571,0.8487397455770515,0.8628149458657133
median_fl,0.283085206851571,1.0,0.2591320343074029,0.12523092893748042
p75_fl,0.8487397455770515,0.2591320343074029,1.0,0.6597229621733989
p90_fl,0.8628149458657133,0.12523092893748042,0.6597229621733989,1.0
