niveau_CECR,Moyenne,Ecart_type,Mediane,Q25,Q75,Min,Max
A1,0.00036656891495601173,0.0017193606157710518,0.0,0.0,0.0,0.0,0.008064516129032258
A2,0.0004771192391624413,0.001671421285800783,0.0,0.0,0.0,0.0,0.009174311926605505
B1,0.0005640099564087634,0.0017306222748630549,0.0,0.0,0.0,0.0,0.008
B2,0.0002778236232601639,0.0012773518547906505,0.0,0.0,0.0,0.0,0.00684931506849315
C1-C2,0.00023502092823467108,0.0007878722565910303,0.0,0.0,0.0,0.0,0.0034924330616996507
