niveau_CECR,Moyenne,Ecart_type,Mediane,Q25,Q75,Min,Max
A1,0.005565563280845346,0.006303120284531354,0.002777777777777778,0.0,0.0108843537414966,0.0,0.016574585635359115
A2,0.006931339094886548,0.007293304788333807,0.006153846153846154,0.0,0.011040818793568925,0.0,0.027522935779816515
B1,0.006676672587792118,0.008412889336944002,0.005305973090131172,0.0,0.008152435007000301,0.0,0.047619047619047616
B2,0.005302203974851963,0.006917802561611578,0.003373887574631069,0.0,0.007538091419406576,0.0,0.031746031746031744
C1-C2,0.0028831270302683417,0.0025417171283329183,0.002404387032752742,0.000635862653666808,0.004562542720437457,0.0,0.009174311926605505
