fichier,niveau_CECR,MeanSentL
B2_COMPROF21.txt,B2,16.28
B2_COMPROF22.txt,B2,12.153846153846153
B2_COMPROF23.txt,B2,10.666666666666666
B2_COMPROF3.txt,B2,12.925
B2_COMPROF4.txt,B2,15.676470588235293
B2_COMPROF5.txt,B2,8.268292682926829
B2_COMPROF6.txt,B2,11.76923076923077
B2_COMPROF7.txt,B2,18.333333333333332
B2_COMPROF8.txt,B2,14.551724137931034
B2_COMPROF9.txt,B2,13.615384615384615
C1_CNAVT1.txt,C1-C2,19.444444444444443
C1_CNAVT2.txt,C1-C2,17.761904761904763
C1_CNAVT3.txt,C1-C2,17.9
C1_CNAVT4.txt,C1-C2,19.0
C1_CNAVT5.txt,C1-C2,15.193548387096774
C1_CNAVT6.txt,C1-C2,18.5
C2_10_TIJD.txt,C1-C2,14.72
C2_11_TIJD.txt,C1-C2,9.0
C2_12_TIJD.txt,C1-C2,16.548387096774192
C2_13_TIJD.txt,C1-C2,15.0
C2_14_TIJD.txt,C1-C2,17.31578947368421
C2_15_TIJD.txt,C1-C2,15.655172413793103
C2_16_TIJD.txt,C1-C2,18.40625
C2_17_TIJD.txt,C1-C2,16.903846153846153
C2_18_TIJD.txt,C1-C2,26.833333333333332
C2_19_TIJD.txt,C1-C2,16.4
C2_1_TIJD.txt,C1-C2,17.24137931034483
C2_20_TIJD.txt,C1-C2,16.96153846153846
C2_21_TIJD.txt,C1-C2,17.52112676056338
C2_22_TIJD.txt,C1-C2,18.88235294117647
C2_23_TIJD.txt,C1-C2,17.23076923076923
C2_24_TIJD.txt,C1-C2,15.753246753246753
C2_25_TIJD.txt,C1-C2,14.448275862068966
C2_26_TIJD.txt,C1-C2,17.081632653061224
C2_27_TIJD.txt,C1-C2,15.481012658227849
C2_28_TIJD.txt,C1-C2,13.096774193548388
C2_29_TIJD.txt,C1-C2,11.1375
C2_2_TIJD.txt,C1-C2,10.0
C2_30_TIJD.txt,C1-C2,11.907692307692308
C2_3_TIJD.txt,C1-C2,15.342857142857143
C2_4_TIJD.txt,C1-C2,18.0
C2_5_TIJD.txt,C1-C2,21.066666666666666
C2_6_TIJD.txt,C1-C2,13.512820512820513
C2_7_TIJD.txt,C1-C2,10.128953771289538
C2_8_TIJD.txt,C1-C2,14.384615384615385
C2_9_TIJD.txt,C1-C2,13.541666666666666
