niveau_CECR,count,mean,std,min,max
A1,22,8.785580017030842,2.465430003280005,4.066666666666666,15.181818181818182
A2,39,9.911388827450907,2.3170317161077034,3.760869565217391,17.0
B1,40,11.292980200981294,2.977820197383544,5.333333333333333,17.307692307692307
B2,42,13.534136717581427,3.942784544533926,4.783783783783784,23.571428571428573
C1-C2,36,16.036209926167523,3.3598041353299646,9.0,26.833333333333332
